By Freedom Value	फ्रीडम वैल्यू द्वारा	फ्रीडम व्हॅल्यूतर्फे
Hide optional details	वैकल्पिक विवरण छिपाएँ	ऐच्छिक तपशील लपवा
Add description or notes	विवरण या टिप्पणी जोड़ें	वर्णन किंवा नोंदी जोडा
Review your lot	अपने लॉट की जाँच करें	तुमचा लॉट तपासा
Check the details before saving online.	ऑनलाइन सहेजने से पहले विवरण जाँचें।	ऑनलाइन जतन करण्यापूर्वी तपशील तपासा.
Edit details	विवरण बदलें	तपशील बदला
Edit photos	फोटो बदलें	फोटो बदला
Choose a category for this material.	इस सामग्री की श्रेणी चुनें।	या साहित्याची श्रेणी निवडा.
Enter a valid quantity.	सही मात्रा दर्ज करें।	योग्य प्रमाण भरा.
Enter a lot name.	लॉट का नाम दर्ज करें।	लॉटचे नाव भरा.
Enter a collection area.	संग्रह क्षेत्र दर्ज करें।	संकलन क्षेत्र भरा.
Complete each material before reviewing your lot.	लॉट की समीक्षा से पहले हर सामग्री का विवरण पूरा करें।	लॉट तपासण्यापूर्वी प्रत्येक साहित्याचा तपशील पूर्ण करा.
Continue to details	विवरण पर आगे बढ़ें	तपशीलाकडे पुढे जा
Review lot	लॉट की जाँच करें	लॉट तपासा
A clear view of every payment.	हर भुगतान की स्पष्ट जानकारी।	प्रत्येक देयकाची स्पष्ट माहिती.
Confirmed receipts	पुष्टि की गई प्राप्तियाँ	पुष्टी झालेल्या जमा रकमा
Confirmed payments	पुष्टि किए गए भुगतान	पुष्टी झालेली देयके
Money you have confirmed receiving	वह राशि जिसके मिलने की आपने पुष्टि की है	तुम्ही मिळाल्याची पुष्टी केलेली रक्कम
Material payments confirmed by collectors	संग्रहकर्ताओं द्वारा पुष्ट सामग्री भुगतान	संकलकांनी पुष्टी केलेली साहित्याची देयके
Awaiting confirmation	पुष्टि का इंतज़ार	पुष्टीची प्रतीक्षा
Recorded transfers that still need receipt confirmation.	दर्ज किए गए हस्तांतरण जिनकी प्राप्ति की पुष्टि बाकी है।	नोंदवलेल्या हस्तांतरणांची प्राप्ती पुष्टी करणे बाकी आहे.
Payment summary	भुगतान का सार	देयकांचा सारांश
Accepted quotes	स्वीकृत भाव	स्वीकारलेले दर
Approved invoices	स्वीकृत चालान	मंजूर बिले
Outstanding dues	बकाया राशि	थकबाकी
Payment activity	भुगतान गतिविधि	देयकांचे व्यवहार
No payments yet	अभी कोई भुगतान नहीं	अद्याप देयके नाहीत
Your receipts will appear here as your lots become orders.	आपके लॉट के ऑर्डर बनने पर प्राप्त भुगतान यहाँ दिखेंगे।	तुमच्या लॉटच्या ऑर्डर झाल्यावर मिळालेल्या रकमा येथे दिसतील.
Your material payment history will appear here.	सामग्री भुगतान का इतिहास यहाँ दिखेगा।	साहित्याच्या देयकांचा इतिहास येथे दिसेल.
Only confirmed receipts count as earnings. Transport is accounted separately. Quotes can change.	केवल पुष्ट प्राप्तियाँ कमाई में गिनी जाती हैं। परिवहन का हिसाब अलग है। भाव बदल सकते हैं।	फक्त पुष्टी झालेल्या जमा रकमा कमाईत धरल्या जातात. वाहतुकीचा हिशेब वेगळा आहे. दर बदलू शकतात.
Sign out?	साइन आउट करें?	साइन आउट करायचे?
You will need a new invitation to sign in again. Your saved records will stay on this phone.	दोबारा साइन इन करने के लिए नया आमंत्रण चाहिए। सहेजे गए रिकॉर्ड इस फोन पर रहेंगे।	पुन्हा साइन इन करण्यासाठी नवीन आमंत्रण लागेल. जतन केलेल्या नोंदी या फोनवर राहतील.
