Confirm only what actually happened. This does not transfer money.	केवल वास्तविक घटना की पुष्टि करें। इससे पैसा स्थानांतरित नहीं होता।	प्रत्यक्ष घडलेल्या गोष्टीचीच पुष्टी करा. यामुळे पैसे पाठवले जात नाहीत.
Confirm physical return	माल की वास्तविक वापसी की पुष्टि करें	माल प्रत्यक्ष परत आल्याची पुष्टी करा
Confirmed ₹	पुष्ट ₹	पुष्टी केलेले ₹
Connect to load financial records.	वित्तीय रिकॉर्ड के लिए इंटरनेट से जुड़ें।	आर्थिक नोंदींसाठी इंटरनेटशी जोडा.
Connect to load logistics details.	परिवहन विवरण के लिए इंटरनेट से जुड़ें।	वाहतुकीच्या तपशिलांसाठी इंटरनेटशी जोडा.
Connect to load this order.	ऑर्डर देखने के लिए इंटरनेट से जुड़ें।	ऑर्डर पाहण्यासाठी इंटरनेटशी जोडा.
Connect to load this request.	अनुरोध देखने के लिए इंटरनेट से जुड़ें।	विनंती पाहण्यासाठी इंटरनेटशी जोडा.
Connecting…	कनेक्ट हो रहा है…	जोडत आहे…
Correct receipt with evidence	साक्ष्य के साथ प्राप्ति सुधारें	पुराव्यासह प्राप्ती दुरुस्त करा
Could not complete this action	कार्रवाई पूरी नहीं हो सकी	ही कृती पूर्ण झाली नाही
Could not read this photo.	यह फोटो पढ़ा नहीं जा सका।	हा फोटो वाचता आला नाही.
Could not save document.	दस्तावेज़ सहेजा नहीं जा सका।	दस्तऐवज जतन झाला नाही.
Could not save photo.	फोटो सहेजा नहीं जा सका।	फोटो जतन झाला नाही.
Delivery issue	डिलीवरी की समस्या	वितरणाची समस्या
Delivery: 	डिलीवरी: 	वितरण:\s
Detailed category confirmed: 	पुष्ट विस्तृत श्रेणी: 	पुष्टी केलेली तपशीलवार श्रेणी:\s
Detailed category: 	विस्तृत श्रेणी: 	तपशीलवार श्रेणी:\s
Dispute invoice	चालान पर आपत्ति करें	चलनावर आक्षेप नोंदवा
Dispute payment	भुगतान पर आपत्ति करें	देयकावर आक्षेप नोंदवा
Document could not be opened.	दस्तावेज़ खोला नहीं जा सका।	दस्तऐवज उघडता आला नाही.
Document is empty.	दस्तावेज़ खाली है।	दस्तऐवज रिकामा आहे.
Document saved on this phone	दस्तावेज़ इस फ़ोन पर सहेजा गया	दस्तऐवज या फोनवर जतन झाला
Draft changed on another device	मसौदा दूसरे उपकरण पर बदला गया	मसुदा दुसऱ्या उपकरणावर बदलला
Drafts synced	मसौदे सिंक हो गए	मसुदे समक्रमित झाले
Earnings & payments	कमाई और भुगतान	कमाई आणि देयके
Edit requirement	खरीद आवश्यकता संपादित करें	खरेदीची गरज संपादित करा
Enable phone notifications	फ़ोन सूचनाएँ चालू करें	फोन सूचना सुरू करा
Enter the code sent to your phone	फ़ोन पर आया कोड दर्ज करें	फोनवर आलेला कोड भरा
Evidence & activity	साक्ष्य और गतिविधि	पुरावे आणि कृती
Evidence draft was not found.	साक्ष्य का मसौदा नहीं मिला।	पुराव्याचा मसुदा सापडला नाही.
Evidence is shared with this order's collector, recycler and Freedom Value operations. Location below is entered manually.	साक्ष्य इस ऑर्डर के संग्राहक, रीसाइकलर और Freedom Value संचालन से साझा होता है। नीचे स्थान स्वयं दर्ज किया गया है।	पुरावा या ऑर्डरच्या संकलक, रीसायकलर आणि Freedom Value संचालनासोबत शेअर होतो. खालील ठिकाण स्वतः भरलेले आहे.
Evidence photo	साक्ष्य फोटो	पुराव्याचा फोटो
Evidence photo 	साक्ष्य फोटो 	पुराव्याचा फोटो\s
Evidence time	साक्ष्य का समय	पुराव्याची वेळ
Evidence time: 	साक्ष्य का समय: 	पुराव्याची वेळ:\s
Explain the receipt dispute	प्राप्ति पर आपत्ति समझाएँ	प्राप्तीवरील आक्षेप स्पष्ट करा
Find matches	मेल खोजें	जुळणारे पर्याय शोधा
Find recycler requirements for this line	इस सामग्री के लिए रीसाइकलर की आवश्यकता खोजें	या साहित्यासाठी रीसायकलरची गरज शोधा
Handover / inspection note	हस्तांतरण / निरीक्षण टिप्पणी	हस्तांतरण / तपासणी नोंद
Handover option	हस्तांतरण विकल्प	हस्तांतरण पर्याय
Handover options	हस्तांतरण विकल्प	हस्तांतरण पर्याय
I am a	मैं हूँ	मी आहे
Identify	पहचानें	ओळखा
Identify a photo with Gemini	Gemini से फोटो पहचानें	Gemini द्वारे फोटो ओळखा
Identify with Gemini?	Gemini से पहचानें?	Gemini द्वारे ओळखायचे?
If no photo, explain the missing evidence	फोटो नहीं है तो कारण लिखें	फोटो नसेल तर कारण लिहा
Incoming requests	आए हुए अनुरोध	आलेल्या विनंत्या
Install a PDF or image viewer to open this document.	यह दस्तावेज़ खोलने के लिए PDF या फोटो व्यूअर इंस्टॉल करें।	दस्तऐवज उघडण्यासाठी PDF किंवा फोटो व्ह्यूअर स्थापित करा.
Invitation code	आमंत्रण कोड	आमंत्रण कोड
Invitations work once. If you sign out or change phones, request a new invitation. Mobile number verification is not enabled in this demo.	आमंत्रण एक बार काम करता है। साइन आउट या फ़ोन बदलने पर नया आमंत्रण माँगें। इस डेमो में मोबाइल सत्यापन चालू नहीं है।	आमंत्रण एकदाच चालते. साइन आउट केल्यास किंवा फोन बदलल्यास नवीन आमंत्रण मागा. या डेमोमध्ये मोबाइल पडताळणी सुरू नाही.
Invoice date (YYYY-MM-DD)	चालान की तारीख (YYYY-MM-DD)	चलनाची तारीख (YYYY-MM-DD)
Invoice issuer	चालान जारीकर्ता	चलन जारीकर्ता
Invoice number	चालान नंबर	चलन क्रमांक
Invoice total ₹	चालान की कुल राशि ₹	चलनाची एकूण रक्कम ₹
Invoices & settlement	चालान और निपटान	चलने आणि हिशेब
Issues & review	समस्याएँ और समीक्षा	समस्या आणि पुनरावलोकन
Keep a separate copy	अलग प्रति रखें	वेगळी प्रत ठेवा
Keep manual selection	अपना चयन रखें	स्वतःची निवड ठेवा
Keep reviewing	समीक्षा जारी रखें	पुनरावलोकन सुरू ठेवा
Last checked: 	अंतिम जाँच: 	शेवटची तपासणी:\s
Local collector	स्थानीय संग्राहक	स्थानिक संकलक
Location (manual)	स्थान (स्वयं दर्ज)	ठिकाण (स्वतः भरलेले)
Logistics account	परिवहन खाता	वाहतूक खाते
Logistics charge is not available yet. Recycler pays separately.	परिवहन शुल्क अभी उपलब्ध नहीं है। रीसाइकलर अलग भुगतान करता है।	वाहतूक शुल्क अद्याप उपलब्ध नाही. रीसायकलर वेगळे पैसे देतो.
Logistics charge ₹	परिवहन शुल्क ₹	वाहतूक शुल्क ₹
Logistics is paid separately by recycler. No payment has been recorded.	रीसाइकलर परिवहन का अलग भुगतान करता है। कोई भुगतान दर्ज नहीं है।	रीसायकलर वाहतुकीचे पैसे वेगळे देतो. देयक नोंदवलेले नाही.
Logistics payee receipt reference	परिवहन प्राप्तकर्ता की रसीद का संदर्भ	वाहतूक प्राप्तकर्त्याच्या पावतीचा संदर्भ
Matching requirements	मेल खाती खरीद आवश्यकताएँ	जुळणाऱ्या खरेदीच्या गरजा
Material account	सामग्री खाता	साहित्य खाते
Material amount ₹	सामग्री राशि ₹	साहित्य रक्कम ₹
Material line 	सामग्री पंक्ति 	साहित्य ओळ\s
Material or equipment	सामग्री या उपकरण	साहित्य किंवा उपकरण
Material payments	सामग्री के भुगतान	साहित्याची देयके
Material proceeds for the collector	संग्राहक की सामग्री राशि	संकलकाची साहित्य रक्कम
Material: ₹	सामग्री: ₹	साहित्य: ₹
Minimum 	न्यूनतम 	किमान\s
Minimum quantity per request	प्रति अनुरोध न्यूनतम मात्रा	प्रत्येक विनंतीचे किमान प्रमाण
Missing photo explanation	फोटो न होने का कारण	फोटो नसण्याचे कारण
Mobile number	मोबाइल नंबर	मोबाइल क्रमांक
My requests	मेरे अनुरोध	माझ्या विनंत्या
Next material line	अगली सामग्री पंक्ति	पुढील साहित्य ओळ
Next page	अगला पृष्ठ	पुढील पान
No accepted orders loaded.	कोई स्वीकृत ऑर्डर नहीं है।	स्वीकारलेली ऑर्डर नाही.
No external payments recorded yet.	अभी कोई बाहरी भुगतान दर्ज नहीं है।	अद्याप बाह्य देयक नोंदवलेले नाही.
No pending action.	कोई कार्रवाई लंबित नहीं है।	प्रलंबित कृती नाही.
No requests loaded.	कोई अनुरोध नहीं है।	विनंत्या नाहीत.
No requirements loaded for this material. Your lot remains saved.	इस सामग्री की खरीद आवश्यकता नहीं मिली। आपका लॉट सुरक्षित है।	या साहित्याची खरेदी गरज सापडली नाही. तुमचा लॉट जतन आहे.
No requirements loaded. Add one or refresh when online.	कोई खरीद आवश्यकता नहीं मिली। नई जोड़ें या ऑनलाइन होने पर ताज़ा करें।	खरेदीची गरज सापडली नाही. नवीन जोडा किंवा ऑनलाइन असताना ताजे करा.
Open financial record	वित्तीय रिकॉर्ड खोलें	आर्थिक नोंद उघडा
Open invoice	चालान खोलें	चलन उघडा
Open lot	लॉट खोलें	लॉट उघडा
Open order	ऑर्डर खोलें	ऑर्डर उघडा
Open payment proof	भुगतान का साक्ष्य खोलें	देयकाचा पुरावा उघडा
Open request	अनुरोध खोलें	विनंती उघडा
Open shared order	साझा ऑर्डर खोलें	शेअर केलेली ऑर्डर उघडा
Operations has not scheduled this order yet.	संचालन टीम ने अभी इस ऑर्डर का समय तय नहीं किया है।	संचालन पथकाने अद्याप या ऑर्डरची वेळ ठरवलेली नाही.
Order 	ऑर्डर 	ऑर्डर\s
Order participant	ऑर्डर का पक्ष	ऑर्डरमधील पक्ष
Order updated since this draft	इस मसौदे के बाद ऑर्डर बदला गया	या मसुद्यानंतर ऑर्डर बदलली
Original quoted estimate: ₹	मूल प्रस्तावित अनुमान: ₹	मूळ प्रस्तावित अंदाज: ₹
Original request and photos	मूल अनुरोध और फोटो	मूळ विनंती आणि फोटो
Partner contact	परिवहन साथी का संपर्क	वाहतूक भागीदाराचा संपर्क
Paused	रुका हुआ	थांबवलेले
Payee	भुगतान प्राप्तकर्ता	रक्कम प्राप्तकर्ता
Payment history	भुगतान इतिहास	देयकांचा इतिहास
Payments happen outside the app. Collector material proceeds and recycler-paid logistics are separate.	भुगतान ऐप के बाहर होता है। संग्राहक की सामग्री राशि और रीसाइकलर का परिवहन खर्च अलग हैं।	देयके ॲपबाहेर दिली जातात. संकलकाची साहित्य रक्कम आणि रीसायकलरचा वाहतूक खर्च वेगळे आहेत.
Photo saved online	फोटो ऑनलाइन सहेजा गया	फोटो ऑनलाइन जतन झाला
Photo shared with this request	इस अनुरोध के साथ साझा फोटो	या विनंतीसोबत शेअर केलेला फोटो
Pickup & receipt	उठान और प्राप्ति	उचल आणि प्राप्ती
Pickup and drop-off	उठान और स्वयं पहुँचाना	उचल आणि स्वतः पोहोचवणे
Please try again.	फिर प्रयास करें।	पुन्हा प्रयत्न करा.
Please wait before requesting another code.	नया कोड माँगने से पहले प्रतीक्षा करें।	नवीन कोड मागण्यापूर्वी थांबा.
Preferred language	पसंदीदा भाषा	पसंतीची भाषा
Prepare your portfolio here. Facility verification is required to publish it.	यहाँ अपना खरीद पोर्टफोलियो तैयार करें। प्रकाशित करने के लिए केंद्र का सत्यापन आवश्यक है।	येथे खरेदी पोर्टफोलिओ तयार करा. प्रकाशित करण्यासाठी केंद्राची पडताळणी आवश्यक आहे.
Price revision 	कीमत संशोधन 	किंमत सुधारणा\s
Propose	प्रस्ताव दें	प्रस्ताव द्या
Propose price revision	कीमत संशोधन का प्रस्ताव दें	किंमत बदलाचा प्रस्ताव द्या
Propose revised material price	संशोधित सामग्री कीमत प्रस्तावित करें	साहित्याच्या सुधारित किमतीचा प्रस्ताव द्या
Quantity to offer (	प्रस्तावित मात्रा (	देऊ केलेले प्रमाण (
Quantity: 	मात्रा: 	प्रमाण:\s
Quote and quantity unit	कीमत और मात्रा की इकाई	दर आणि प्रमाणाचे एकक
Quoted material estimate: ₹	प्रस्तावित सामग्री अनुमान: ₹	प्रस्तावित साहित्याचा अंदाज: ₹
Rate in ₹ per selected unit	चुनी हुई इकाई का दर ₹	निवडलेल्या एककाचा दर ₹
Reason for revision	संशोधन का कारण	दुरुस्तीचे कारण
Reason for this change	इस बदलाव का कारण	या बदलाचे कारण
Reason or clarification	कारण या स्पष्टीकरण	कारण किंवा स्पष्टीकरण
Record 	दर्ज करें 	नोंदवा\s
Record handover	हस्तांतरण दर्ज करें	हस्तांतरण नोंदवा
Record inspection	निरीक्षण दर्ज करें	तपासणी नोंदवा
Record received quantity	प्राप्त मात्रा दर्ज करें	प्राप्त प्रमाण नोंदवा
Recorded by 	दर्ज करने वाला 	नोंद करणारे\s
Recycler account	रीसाइकलर खाता	रीसायकलर खाते
Recycler acknowledged this charge	रीसाइकलर ने इस शुल्क की पुष्टि की	रीसायकलरने या शुल्काची पुष्टी केली
Recycler must confirm the detailed equipment code before acceptance.	स्वीकार करने से पहले रीसाइकलर को विस्तृत उपकरण कोड की पुष्टि करनी होगी।	स्वीकारण्यापूर्वी रीसायकलरने तपशीलवार उपकरण कोडची पुष्टी करावी.
Recycler pays logistics separately. Final price can be revised by agreement and requires a final invoice.	रीसाइकलर परिवहन का अलग भुगतान करता है। सहमति से अंतिम कीमत बदल सकती है और अंतिम चालान आवश्यक है।	रीसायकलर वाहतुकीचे पैसे वेगळे देतो. सहमतीने अंतिम किंमत बदलू शकते आणि अंतिम चलन आवश्यक आहे.
Recycler-paid logistics	रीसाइकलर द्वारा दिया परिवहन खर्च	रीसायकलरने दिलेला वाहतूक खर्च
Recycler-paid logistics: ₹	रीसाइकलर का परिवहन खर्च: ₹	रीसायकलरचा वाहतूक खर्च: ₹
Reject request	अनुरोध अस्वीकार करें	विनंती नाकारा
Reject reversal	सुधार अस्वीकार करें	दुरुस्ती नाकारा
Reject with reason	कारण के साथ अस्वीकार करें	कारणासह नाकारा
Remove evidence photo 	साक्ष्य फोटो हटाएँ 	पुराव्याचा फोटो काढा\s
Remove this photo from lot	लॉट से यह फोटो हटाएँ	लॉटमधून हा फोटो काढा
Report delivery issue	डिलीवरी समस्या दर्ज करें	वितरणाची समस्या नोंदवा
Request details	अनुरोध विवरण	विनंतीचा तपशील
Request schedule change	समय बदलने का अनुरोध करें	वेळ बदलण्याची विनंती करा
Requested pickup change	उठान समय बदलने का अनुरोध	उचलण्याची वेळ बदलण्याची विनंती
Requested: 	अनुरोधित: 	विनंती केलेले:\s
Resend code	कोड फिर भेजें	कोड पुन्हा पाठवा
Retry pending action	लंबित कार्रवाई फिर करें	प्रलंबित कृतीचा पुन्हा प्रयत्न करा
Review 	समीक्षा करें 	पुनरावलोकन करा\s
Review a suggested category	सुझाई श्रेणी की समीक्षा करें	सुचवलेली श्रेणी तपासा
Review and share	समीक्षा कर साझा करें	तपासून शेअर करा
Review and submit evidence	साक्ष्य की समीक्षा कर जमा करें	पुरावा तपासून सादर करा
Review identification	पहचान की समीक्षा करें	ओळखीचे पुनरावलोकन करा
Review needed	समीक्षा आवश्यक है	पुनरावलोकन आवश्यक आहे
Review note / reason	समीक्षा टिप्पणी / कारण	पुनरावलोकन नोंद / कारण
Review received quantity	प्राप्त मात्रा की समीक्षा करें	प्राप्त प्रमाण तपासा
Review request	अनुरोध की समीक्षा करें	विनंती तपासा
Review saved evidence	सहेजे साक्ष्य की समीक्षा करें	जतन केलेला पुरावा तपासा
Review server changes	सर्वर के बदलाव देखें	सर्व्हरवरील बदल तपासा
Review the document, amount and received quantity before approving.	स्वीकृति से पहले दस्तावेज़, राशि और प्राप्त मात्रा जाँचें।	मंजुरीपूर्वी दस्तऐवज, रक्कम आणि प्राप्त प्रमाण तपासा.
Save online	ऑनलाइन सहेजें	ऑनलाइन जतन करा
Save profile	प्रोफ़ाइल सहेजें	प्रोफाइल जतन करा
Save requirement	खरीद आवश्यकता सहेजें	खरेदीची गरज जतन करा
Save this draft online before comparing current requirements.	खरीद आवश्यकताओं की तुलना से पहले मसौदा ऑनलाइन सहेजें।	खरेदीच्या गरजांची तुलना करण्यापूर्वी मसुदा ऑनलाइन जतन करा.
Saved on this phone	इस फ़ोन पर सहेजा गया	या फोनवर जतन केलेले
Saved online	ऑनलाइन सहेजा गया	ऑनलाइन जतन केलेले
Send the selected photo to Gemini for a category suggestion. Check the result before using it. You can always choose manually.	श्रेणी सुझाव के लिए चुना फोटो Gemini को भेजें। उपयोग से पहले परिणाम जाँचें। आप स्वयं भी चुन सकते हैं।	श्रेणीच्या सूचनेसाठी निवडलेला फोटो Gemini कडे पाठवा. वापरण्यापूर्वी परिणाम तपासा. तुम्ही स्वतःही निवडू शकता.
Send verification code	सत्यापन कोड भेजें	पडताळणी कोड पाठवा
Service areas, separated by commas	सेवा क्षेत्र, अल्पविराम से अलग	सेवा परिसर, स्वल्पविरामाने वेगळे
Share acknowledgment	प्राप्ति पुष्टि साझा करें	प्राप्तीची पुष्टी शेअर करा
Share payment acknowledgment	भुगतान की पुष्टि साझा करें	देयकाची पुष्टी शेअर करा
Share photos and submit request	फोटो साझा कर अनुरोध भेजें	फोटो शेअर करून विनंती पाठवा
Shared handover evidence	साझा हस्तांतरण साक्ष्य	शेअर केलेला हस्तांतरण पुरावा
Shared lot photo	साझा लॉट फोटो	शेअर केलेला लॉट फोटो
Shared order	साझा ऑर्डर	शेअर केलेली ऑर्डर
Shared orders	साझा ऑर्डर	शेअर केलेल्या ऑर्डर
Showing your latest 100 notifications.	आपकी नवीनतम 100 सूचनाएँ दिखाई गई हैं।	तुमच्या नवीनतम 100 सूचना दाखवल्या आहेत.
Sign in	साइन इन करें	साइन इन करा
Sign in with your invitation	आमंत्रण से साइन इन करें	आमंत्रणाने साइन इन करा
Sign in with your mobile number	मोबाइल नंबर से साइन इन करें	मोबाइल क्रमांकाने साइन इन करा
Submission or revision reason	जमा करने या संशोधन का कारण	सादरीकरण किंवा दुरुस्तीचे कारण
Submit for review	समीक्षा के लिए जमा करें	पुनरावलोकनासाठी सादर करा
Submit review	समीक्षा जमा करें	पुनरावलोकन सादर करा
Submit this evidence?	यह साक्ष्य जमा करें?	हा पुरावा सादर करायचा?
Submitting shares this lot's photos, the selected material details, quantity and collection area with this recycler. Private lot notes are not shared.	जमा करने पर इस लॉट के फोटो, चुनी सामग्री, मात्रा और उठान क्षेत्र रीसाइकलर से साझा होंगे। निजी टिप्पणियाँ साझा नहीं होंगी।	सादर केल्यावर लॉटचे फोटो, निवडलेले साहित्य, प्रमाण आणि उचल परिसर रीसायकलरसोबत शेअर होतात. खाजगी नोंदी शेअर होत नाहीत.
Sync saved drafts	सहेजे मसौदे सिंक करें	जतन केलेले मसुदे समक्रमित करा
Take a photo or upload one to save your first lot.	पहला लॉट सहेजने के लिए फोटो लें या अपलोड करें।	पहिला लॉट जतन करण्यासाठी फोटो काढा किंवा अपलोड करा.
Take evidence photo	साक्ष्य फोटो लें	पुराव्याचा फोटो काढा
Terms changed. Review a revised invoice before further settlement.	शर्तें बदल गई हैं। आगे निपटान से पहले संशोधित चालान की समीक्षा करें।	अटी बदलल्या आहेत. पुढील हिशेबापूर्वी सुधारित चलन तपासा.
Total demand (leave empty for unlimited)	कुल माँग (असीमित के लिए खाली छोड़ें)	एकूण मागणी (अमर्यादित असल्यास रिकामे ठेवा)
Totals use collector-confirmed material payments. Logistics is accounted separately.	कुल राशि संग्राहक द्वारा पुष्ट सामग्री भुगतानों पर आधारित है। परिवहन का हिसाब अलग है।	एकूण रक्कम संकलकाने पुष्टी केलेल्या साहित्य देयकांवर आधारित आहे. वाहतुकीचा हिशेब वेगळा आहे.
Transport partner	परिवहन साथी	वाहतूक भागीदार
Unlimited	असीमित	अमर्यादित
Untitled lot	बिना नाम का लॉट	नाव नसलेला लॉट
Upload evidence photo	साक्ष्य फोटो अपलोड करें	पुराव्याचा फोटो अपलोड करा
Upload invoice	चालान अपलोड करें	चलन अपलोड करा
Upload invoice or revision	चालान या संशोधन अपलोड करें	चलन किंवा सुधारित आवृत्ती अपलोड करा
Use at most five evidence photos.	अधिकतम पाँच साक्ष्य फोटो उपयोग करें।	जास्तीत जास्त पाच पुराव्याचे फोटो वापरा.
Use the personal invitation supplied by Freedom Value. Your account role is already assigned.	Freedom Value का व्यक्तिगत आमंत्रण उपयोग करें। आपके खाते की भूमिका पहले से तय है।	Freedom Value चे वैयक्तिक आमंत्रण वापरा. तुमच्या खात्याची भूमिका आधीच ठरलेली आहे.
Valid through (YYYY-MM-DD)	वैधता की अंतिम तारीख (YYYY-MM-DD)	वैधतेची शेवटची तारीख (YYYY-MM-DD)
Verification code	सत्यापन कोड	पडताळणी कोड
Verify and sign in	सत्यापित कर साइन इन करें	पडताळून साइन इन करा
Verify logistics payee receipt	परिवहन प्राप्तकर्ता की रसीद जाँचें	वाहतूक प्राप्तकर्त्याची पावती तपासा
View evidence photo 	साक्ष्य फोटो देखें 	पुराव्याचा फोटो पाहा\s
View record details	रिकॉर्ड विवरण देखें	नोंदीचा तपशील पाहा
View shared photo 	साझा फोटो देखें 	शेअर केलेला फोटो पाहा\s
View update	अपडेट देखें	अद्यतन पाहा
Waste category	कचरा श्रेणी	कचऱ्याची श्रेणी
Window end	समय सीमा का अंत	वेळेची समाप्ती
Window start	समय सीमा की शुरुआत	वेळेची सुरुवात
Withdraw request	अनुरोध वापस लें	विनंती मागे घ्या
You pay this separately from the collector's material amount. This does not record a payment.	यह संग्राहक की सामग्री राशि से अलग है। इससे भुगतान दर्ज नहीं होता।	ही रक्कम संकलकाच्या साहित्य रकमेपासून वेगळी आहे. यामुळे देयक नोंदवले जात नाही.
Your earnings	आपकी कमाई	तुमची कमाई
Your lots	आपके लॉट	तुमचे लॉट
Your proposed total material amount ₹ (optional)	आपकी प्रस्तावित कुल सामग्री राशि ₹ (वैकल्पिक)	तुमची प्रस्तावित एकूण साहित्य रक्कम ₹ (पर्यायी)
Your saved drafts are kept. 	आपके सहेजे मसौदे सुरक्षित हैं। 	तुमचे जतन केलेले मसुदे सुरक्षित आहेत.\s
